gene_id	gene_length	counts
292	1065	4
364	476	0
496	1852	15
597	1438	0
670	1251	4575
710	1027	0
794	984	449
918	1492	220
1310	1415	341
1653	1289	28
1803	1466	4962
1953	494	1250
2398	465	0
3196	2153	279
3417	2003	17
3620	549	55
3669	1789	565
4628	1080	8
4682	897	6
5181	729	85
5183	1956	363
5207	1058	0
5543	1363	1363
6181	1331	187
6459	967	495
6608	1308	3
6739	1251	44
6904	673	3
7082	751	1
7421	1564	50
8120	405	0
8984	586	649
9549	1721	36
9886	1664	171
9940	2436	11408
10070	1405	10336
10188	2028	718
10331	2061	468
10876	908	33
10921	1482	260
11148	1025	1025
11498	943	7
12000	1455	293
12225	934	136
12255	1431	86
12394	790	100
12560	821	11
12590	1054	113
12778	1204	344
13274	1688	6249
13278	694	9
13370	1704	8078
13489	2395	1481
13847	1963	3111
14376	1133	4756
14611	2646	2388
14900	846	0
16148	1879	232
16237	1124	4243
16271	1949	7
16450	1712	1591
16558	1990	150
16559	2029	13061
16997	604	44
17165	640	1344
17697	650	11
18427	1004	259
18470	662	162
18512	1538	495
18819	920	179
18854	2736	3870
19106	1623	358
19487	712	72
19556	1419	15
19581	886	119
19648	735	111
19748	1440	9420
19833	430	1
19844	1146	394
20186	1161	3369
20196	1442	0
20900	716	866
21216	917	245
21299	1260	865
21837	1191	587
21918	3500	17431
21996	2273	1015
22163	598	1
22516	1405	66
22550	1102	10
23438	831	2
23682	988	200
23739	2033	28
23929	3108	3020
23946	985	1436
24274	997	93
24616	1790	1731
24625	2193	766
24792	598	0
25385	756	15
25386	643	29
25600	726	12
25793	546	0
26295	1863	1254
26471	2743	4283
27667	867	72
27753	906	45
27867	1806	375
28066	1623	5451
28257	2752	2992
28802	1235	82
28906	1425	636
29112	637	266
29171	811	466
29339	1509	1846
29914	1176	311
30611	805	200
31612	1633	182
32218	558	0
32650	908	2
32772	589	6
32812	710	4046
33295	2429	4328
33854	1412	14620
33870	1338	658
33968	868	300
35167	579	4
35233	2266	15934
35260	662	607
35635	1153	4510
35821	417	3
36346	1445	1284
37352	1698	516
37706	3436	734
37997	1291	163
38126	2290	11542
39763	1496	2749
40458	1925	320
40876	1956	2747
41961	822	133
41962	1906	618
42030	1384	735
42231	1172	49
43270	2107	669
43916	981	28
44113	534	24
44138	1235	1210
44639	1443	4281
44662	1148	280
44676	649	3507
44775	1635	374
44922	440	7
44952	714	588
45196	1235	1125
45470	1662	3832
45522	725	12
45542	2031	6954
45605	1224	219
45787	826	11
46358	1254	5193
46562	1986	10752
47131	631	637
47660	1638	152
48049	1823	890
48127	1093	307
48557	1387	4205
49497	726	3063
49616	1219	1617
50034	1289	1056
50764	833	771
50807	1753	51
51115	514	11
51364	1360	952
51720	1490	18819
52185	1411	5358
52709	1067	202
52819	1399	736
52865	791	59
53513	2189	161
53519	3247	1900
53827	403	8
53860	633	69
53935	1932	1666
54608	1403	1124
55729	522	0
55951	3946	7635
56834	2485	132
56852	1817	4857
56895	851	39870
57099	620	1548
57431	842	4
57492	1200	216
57619	2084	297
57925	2078	6652
58487	361	15
59228	1753	3375
59421	2120	258
60088	814	19079
60560	648	121
61085	917	255
61120	1570	222
61485	1373	26
61515	915	2
61778	833	1
61803	854	61
61901	1869	1004
61968	923	1526
61990	914	0
62311	1770	341
62460	1467	626
62524	1551	12615
62737	2947	6974
63190	721	24
63306	901	8444
63776	541	9111
63894	837	445
64098	2500	2448
64260	977	116
64496	685	5
64725	875	2725
64836	814	28120
64988	998	11
65230	962	1597
65664	1894	71830
66054	2417	4864
66147	1124	209
66227	524	71
66236	426	758
66524	907	686
66862	2377	1951
66931	1249	516
67372	620	633
67426	696	5
68146	2993	226
69637	1419	773
70216	3741	1671
70695	933	44
70780	633	2168
71656	1264	1823
73733	872	183
74041	1083	76
76814	751	185
77125	4326	3090
77311	804	2796
77410	915	44
77463	2500	5926
77493	950	77
77860	945	2618
78076	1650	31288
78298	884	41
79017	431	2603
79055	3504	4965
79152	1187	15749
79423	1025	2367
79484	419	0
79611	781	6
79614	602	1
80004	1080	842
80322	3187	275
80851	2144	1238
81060	888	3546
81204	1415	205
81322	1489	624
81431	2036	157
81589	1265	8323
81856	2331	580
81923	762	250
82419	1667	3500
82882	1925	3549
83229	1047	51
83405	755	189
84597	946	68
84839	963	3234
85022	1527	145
85185	1295	39016
85848	2283	1658
85957	2835	3024
85986	825	2225
86043	1078	343
86084	2318	344
86163	714	229
86225	537	45
86275	3286	1331
86458	986	1926
87100	2941	2118
87107	1970	4273
87549	2268	369
87561	624	50
88121	1035	1442
88790	1355	2062
88847	2027	18281
88928	2599	2555
90483	1894	1864
90709	1860	54
92404	1299	888
92974	2951	878
92975	729	0
93336	643	64
93973	728	67
94534	944	13
94570	481	17
94603	1288	0
94645	1074	0
94655	687	0
94921	660	96
95081	1534	95
95254	1056	0
95255	1651	0
95267	1226	9
95903	868	139
96017	517	7
96272	1175	348
96395	1708	2375
96450	2324	87
97216	538	20
97244	795	0
97536	804	600
98778	693	156
99102	1736	10257
99245	1316	128
99513	1117	322
99514	1390	1420
99792	473	26
100007	1510	300
100734	1773	3777
100790	847	176
100806	1794	191
101273	1516	1212
101510	1855	2498
101596	711	43
101696	1190	9287
102069	1380	483
102088	1563	7327
102196	916	3
102442	895	87
102546	2178	100
102693	502	9
102785	1034	24
102789	2371	4369
102862	1910	3549
103432	1758	0
103453	567	0
103548	979	12018
103662	836	40
103673	671	2697
103838	504	0
